Date,brl,crude,cny,usd_index,equity,corn,soyoil,soymeal,soybean,wheat
2009-06-01,,68.58000183105469,6.831500053405762,79.16999816894531,69.80095672607422,445.75,40.45000076293945,390.79998779296875,1218.5,674.5
2009-06-02,1.940999984741211,68.55000305175781,6.819799900054932,78.4000015258789,69.85986328125,449.5,40.5,387.5,1209.0,669.5
2009-06-03,1.945199966430664,66.12000274658203,6.818299770355225,79.5,68.97601318359375,432.5,39.25,379.5,1182.0,617.5
2009-06-04,1.9421000480651855,68.80999755859375,6.823400020599365,79.41000366210938,69.62418365478516,448.5,40.34000015258789,399.0,1230.0,635.25
2009-06-05,1.9559999704360962,68.44000244140625,6.822500228881836,80.66999816894531,69.638916015625,444.0,39.72999954223633,396.0,1225.5,623.0
2009-06-08,1.975100040435791,68.08999633789062,6.825699806213379,80.91000366210938,69.3517074584961,435.0,39.400001525878906,401.70001220703125,1232.5,598.0
2009-06-09,1.9426000118255615,70.01000213623047,6.825900077819824,79.79000091552734,69.70523071289062,444.0,39.45000076293945,407.79998779296875,1243.5,613.75
2009-06-10,1.947700023651123,71.33000183105469,6.8231000900268555,80.33000183105469,69.52845001220703,435.75,38.61000061035156,413.3999938964844,1246.0,596.0
2009-06-11,1.9470000267028809,72.68000030517578,6.827499866485596,79.41000366210938,69.83778381347656,441.0,38.20000076293945,428.0,1267.0,594.75
2009-06-12,1.9205000400543213,72.04000091552734,6.823400020599365,80.13999938964844,70.029296875,425.5,37.15999984741211,422.70001220703125,1245.5,584.75
2009-06-15,1.9574999809265137,70.62000274658203,6.827600002288818,81.13999938964844,68.42362976074219,406.0,36.619998931884766,405.29998779296875,1197.0,575.25
2009-06-16,1.9674999713897705,70.47000122070312,6.823999881744385,80.70999908447266,67.49560546875,404.0,36.959999084472656,404.29998779296875,1201.25,565.75
2009-06-17,1.9789999723434448,71.02999877929688,6.82889986038208,80.16999816894531,67.42935943603516,407.75,37.099998474121094,400.3999938964844,1206.25,566.0
2009-06-18,1.9110000133514404,71.37000274658203,6.825099945068359,80.61000061035156,67.92281341552734,403.25,36.95000076293945,405.3999938964844,1213.75,560.25
2009-06-19,1.9510999917984009,69.55000305175781,6.826600074768066,80.26000213623047,68.17314147949219,399.25,36.529998779296875,390.0,1179.0,555.25
2009-06-22,2.01200008392334,66.93000030517578,6.824999809265137,80.77999877929688,66.12887573242188,385.25,35.93000030517578,377.0,1151.5,546.0
